Name,GSAA_Quality1,GSAA_Quality2,GSAA_Quality3,GSAA_Quality4,GSAA_Quality5,GSAA_Quality6,GSAA_Quality7,GSAA_Quality8,GSAA_Quality9,GSAA
Ilya Sorokin,0.0667,-0.0604,1.9932,15.5319,4.0337,2.3515,10.2797,1.8599,4.1023,40.1585
Linus Ullmark,0.0734,-0.1483,1.413,16.878,6.6226,11.5711,4.4353,1.8873,-4.3698,38.3626
Juuse Saros,0.0734,0.8342,1.5231,11.7667,9.8777,5.0353,4.6276,-0.1026,-0.3709,33.2645
Connor Hellebuyck,0.0667,0.1064,1.3806,19.6437,-0.739,7.8792,-1.6819,0.7746,3.9453,31.3756
Filip Gustavsson,0.048,0.5971,5.169,10.9002,2.1414,5.3113,1.7115,-1.2731,1.4198,26.0252
Igor Shesterkin,0.0614,-1.2273,-1.2738,10.5932,-4.7716,10.5969,10.1748,-2.1401,1.9453,23.9588
Jake Oettinger,0.0761,1.1503,6.878,4.7665,2.434,8.2252,0.6556,-1.2254,0.2093,23.1696
Alexandar Georgiev,0.0667,1.1152,-1.0528,5.7552,2.2175,4.3813,-1.1626,5.8974,3.6291,20.847
Ilya Samsonov,0.056,0.72,0.6852,-3.0161,-4.2855,13.4859,6.3304,3.3309,1.5244,18.8312
Jeremy Swayman,0.0374,0.4478,-0.1117,0.0733,4.3953,4.4006,6.0542,0.5289,0.5256,16.3514
Andrei Vasilevskiy,0.0587,-0.3239,1.5419,8.8448,-1.0147,4.8905,3.6556,1.2081,-2.8442,16.0168
Stuart Skinner,0.0734,0.7464,1.0444,-4.4683,3.7472,9.8648,-2.493,1.5766,0.9977,11.0892
Joonas Korpisalo,0.0467,-0.4468,2.7082,-0.7534,-0.0315,7.8206,0.7115,2.6518,-3.0023,9.7048
Laurent Brossoit,0.0093,0.2459,2.4881,-0.659,3.1354,4.5165,-4.7518,1.7645,1.4733,8.2222
Alex Lyon,0.0173,-0.7805,-0.5444,0.95,2.6058,4.7393,-0.7797,0.7269,0.5779,7.5126
Darcy Kuemper,0.0667,0.8342,1.5094,3.0066,2.0446,5.7159,-1.3444,-1.0274,-3.3174,7.4882
Vitek Vanecek,0.0747,1.0537,-0.3796,3.2466,4.4715,-0.0942,0.3356,-1.5939,0.2093,7.3237
Adin Hill,0.0267,0.4917,-1.7568,5.7882,5.006,-3.5656,-1.9843,1.7269,1.4198,7.1526
Pyotr Kochetkov,-0.9693,-0.5522,0.4787,3.6595,-4.1778,3.9919,2.1206,1.2832,0.9988,6.8334
Semyon Varlamov,0.0347,0.3776,2.9625,-3.6531,2.9032,1.2558,0.9773,0.6041,1.3151,6.7772
Kevin Lankinen,0.0187,0.2986,-0.4616,-4.3795,2.3518,3.7876,4.5297,-0.5564,0.6837,6.2726
Akira Schmid,0.012,0.3161,2.2022,3.9946,1.503,-2.4465,-0.4755,0.9624,0.0523,6.1206
Antti Raanta,0.0374,-0.6575,1.1468,-0.7315,0.3518,3.0402,2.5297,-0.2731,-0.264,5.1798
Scott Wedgewood,0.016,0.3073,-0.4385,3.9165,-0.8428,1.111,0.2535,1.2081,-0.4744,5.0567
Joseph Woll,0.0107,0.0351,1.7278,2.0784,0.0218,-1.7474,1.4528,0.3208,1.0523,4.9523
Carter Hart,-0.9333,0.0098,1.4267,1.9564,-1.1718,-3.5777,3.0699,1.6142,2.4186,4.8128
Jet Greaves,0.0,0.023,0.6034,1.6542,0.0312,0.2622,1.2832,0.6314,0.0,4.4886
Keith Kinkaid,0.0,0.0,1.3785,0.5139,-0.9761,1.9249,0.6314,0.0,0.0,3.4726
Logan Thompson,-0.9586,-1.2975,2.3166,3.6376,-6.9505,2.724,5.5682,-0.1503,-1.7384,3.1511
Kevin Mandolese,0.0027,0.0263,0.4377,1.0225,-0.8972,1.7731,0.3479,0.1604,-0.3686,2.5048
Dylan Ferguson,0.0027,0.0615,0.5299,0.9107,-0.4486,0.8029,-0.0332,0.6416,0.0,2.4675
Pavel Francouz,0.0214,0.3249,1.5939,1.0562,1.3192,0.5535,-2.8182,-0.2355,0.5256,2.341
Jonas Johansson,0.0,0.0691,1.5084,-0.4611,0.4408,-1.9021,1.9249,0.4209,0.0,2.0009
Jaxson Stauber,0.0107,0.1054,1.2901,-3.9775,0.3893,4.9292,-0.1329,-0.5188,-0.1581,1.9374
Jaroslav Halak,0.0173,0.4303,-2.5077,0.7825,3.087,4.6387,-4.813,-1.5939,1.7884,1.8296
Jiri Patera,0.0027,0.0176,0.3456,1.2067,0.2866,1.6951,-0.3094,0.1604,-1.5791,1.8262
Dustin Wolf,0.004,0.0176,0.1382,0.4022,0.5514,0.7546,-0.7238,0.3208,0.0,1.465
Aaron Dell,0.0027,0.0439,0.4838,-0.391,-0.0701,0.0185,0.3479,0.3208,0.6314,1.3879
Devon Levi,0.0093,-0.9034,0.5896,-0.7764,-0.0593,3.2228,0.5577,-1.198,-0.1581,1.2842
Casey DeSmith,0.04,-1.5873,-0.1578,4.6432,-1.5829,0.3596,-4.3549,0.3685,3.4721,1.2005
Samuel Ersson,0.012,0.1581,-2.8345,-2.4579,1.1463,0.6726,4.4912,0.3208,-0.3163,1.1923
Sam Montembeault,0.0334,-0.3766,-0.808,5.2578,2.9685,3.0024,-9.5874,1.3309,-0.7384,1.0826
Connor Ingram,0.04,-0.5434,-2.2867,3.0733,-1.9723,2.1367,3.0157,-0.4711,-2.3174,0.6748
Alex Stalock,0.0294,-0.4556,0.506,1.2966,2.3845,-7.7627,-0.3654,1.0853,3.9453,0.6634
Dylan Wells,0.0013,0.0088,0.0691,-0.7486,0.3676,0.6468,0.1381,0.0,0.0,0.4831
Arturs Silovs,0.0053,0.0527,-1.1476,2.5197,-0.6215,-0.3942,1.5192,-2.198,0.4209,0.1565
Eetu Makiniemi,0.0013,0.0176,0.2073,-1.1452,0.0919,1.4014,0.1381,-0.6792,0.0,0.0332
Matthew Berlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lukas Dostal,0.0187,-0.6751,-1.7935,0.3356,2.1789,-2.9485,1.9493,1.6041,-0.8953,-0.2258
Dustin Tokarski,0.004,0.0527,0.6451,0.4638,-0.081,-0.2566,-1.3427,0.9624,-0.7895,-0.3418
Pheonix Copley,0.04,0.6937,-2.1348,-5.2787,4.3143,-0.4618,1.3636,0.3685,0.736,-0.3592
Yaroslav Askarov,0.0013,0.0439,0.2995,-1.3966,-0.7243,0.7546,0.1049,0.1604,0.2105,-0.5458
Erik Kallgren,0.012,0.1756,1.0273,-0.4747,0.7678,-0.9445,0.3147,-1.5188,0.0523,-0.5883
Justus Annunen,0.0,0.1382,-0.2622,-0.7644,-1.2454,-0.0664,1.4733,0.0,0.0,-0.7269
Joey Daccord,0.0067,0.0351,0.8754,1.1677,-0.0701,-2.2269,-0.8951,-0.5188,0.8419,-0.7841
